	P2_A1	P2_A2	P2_A3	P2_A4	P2_A5	P2_A6	P2_A7	P2_A8	P2_A9	P2_A10	P2_A11	P2_A12	P2_A13	P2_A14	P2_A15	P2_A16	P2_A17	P2_A18	P2_A19	P2_A20	P2_A21	P2_A22	P2_A23	P2_A24	P2_B1	P2_B2	P2_B3	P2_B4	P2_B5	P2_B6	P2_B7	P2_B8	P2_B9	P2_B10	P2_B11	P2_B12	P2_B13	P2_B14	P2_B15	P2_B16	P2_B17	P2_B18	P2_B19	P2_B20	P2_B21	P2_B22	P2_B23	P2_B24	P2_C1	P2_C2	P2_C3	P2_C4	P2_C5	P2_C6	P2_C7	P2_C8	P2_C9	P2_C10	P2_C11	P2_C12	P2_C13	P2_C14	P2_C15	P2_C16	P2_C17	P2_C18	P2_C19	P2_C20	P2_C21	P2_C22	P2_C23	P2_C24	P2_D1	P2_D2	P2_D3	P2_D4	P2_D5	P2_D6	P2_D7
ABL1	13	12	1	4	5	1	2	12	3	11	39	13	10	0	0	0	0	0	0	0	0	0	0	0	11	8	3	56	7	12	2	2	7	9	2	5	1	2	0	0	0	0	0	0	0	0	0	0	1	10	6	1	3	2	9	10	13	6	3	3	3	2	0	0	0	0	0	0	0	0	0	0	6	11	6	6	3	1	3
ABL2	15	27	11	4	13	26	16	25	16	18	81	89	7	10	0	0	0	0	0	0	0	0	0	0	22	15	18	120	47	15	10	14	12	41	8	17	4	6	0	0	0	0	0	0	0	0	0	0	7	15	24	12	6	7	20	6	37	24	11	14	6	10	0	0	0	0	0	0	0	0	0	0	10	34	21	77	11	6	10
ABLIM1	238	14	11	16	88	48	73	53	49	108	19	42	9	85	0	0	1	0	0	0	0	0	0	0	99	52	54	12	24	17	84	78	15	83	46	30	8	1	0	0	0	0	0	0	0	0	1	0	43	39	38	44	8	20	9	7	7	58	32	24	68	64	0	1	0	0	0	0	0	0	0	0	1	6	65	135	19	59	80
ABLIM2	1	0	0	0	0	1	2	0	5	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	4	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABLIM3	7	1	1	0	11	4	2	7	1	31	1	4	0	20	0	0	0	0	0	0	0	0	0	0	9	0	18	2	3	0	14	0	0	2	3	14	0	5	0	0	0	0	0	0	0	0	0	0	0	6	2	3	0	1	3	0	0	11	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	3	11	25	0	0	8
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	7	9	8	4	6	10	34	6	10	17	14	23	2	10	0	0	0	0	0	0	0	0	0	0	9	21	9	29	23	1	8	4	3	14	15	11	6	17	0	0	0	0	0	0	0	0	0	0	0	8	5	17	5	13	22	17	13	14	3	3	0	4	0	0	0	0	0	0	0	0	0	0	4	12	18	4	0	0	8
ABRA	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABRACL	439	8	28	67	209	78	112	59	78	137	116	284	128	64	0	0	0	1	1	0	0	0	1	0	180	100	67	204	182	151	21	47	50	86	277	225	19	53	0	0	0	0	1	0	0	0	0	0	33	128	31	260	86	38	19	117	14	50	83	68	120	87	0	0	0	0	0	0	0	0	0	1	85	29	25	356	61	75	60
ABT1	137	13	2	71	19	15	28	37	30	119	36	44	77	100	0	0	0	0	0	0	0	0	0	0	106	30	48	61	41	73	57	30	23	30	48	115	18	44	0	0	1	0	0	0	0	0	0	0	14	33	14	57	33	28	43	38	17	62	11	15	59	25	0	0	0	0	0	0	0	0	0	0	24	20	35	51	8	39	10
ABTB1	8	1	0	0	4	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	1	0	1	2	7	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	5	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0
ABTB2	0	2	2	1	0	0	3	2	2	5	3	5	1	0	0	0	0	0	0	0	0	0	0	0	2	1	8	5	3	1	0	3	1	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	2	1	2	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	1	0	0
ACAA1	14	22	4	8	22	6	11	9	17	23	9	25	18	7	0	0	0	0	0	0	1	0	0	0	26	23	16	19	15	9	5	55	10	21	10	25	1	5	0	0	0	0	0	0	0	0	0	0	26	8	10	9	13	2	2	9	7	8	0	8	18	8	0	0	0	0	0	0	0	0	0	0	5	15	8	19	14	9	2
ACAA2	130	90	25	27	73	6	70	82	32	11	66	148	184	6	0	0	0	0	0	0	0	2	0	0	185	58	9	122	98	262	14	78	21	11	22	82	53	46	0	0	0	0	0	0	0	0	1	0	30	35	4	31	27	84	53	45	21	26	14	22	78	37	0	1	0	0	0	0	0	0	0	0	16	20	14	56	18	72	48
ACACA	41	21	12	11	31	24	26	26	14	16	23	15	12	18	0	0	0	0	0	0	0	0	0	0	34	17	10	29	18	31	11	5	15	62	15	30	4	5	0	0	0	0	0	0	0	0	0	0	5	43	29	23	16	11	6	18	15	29	7	16	7	12	0	0	0	0	0	0	0	0	0	0	8	7	25	34	5	8	15
ACACB	6	4	0	0	1	0	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	2	2	0	0	0	0	0	6	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	5	4	3	1	1	2	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0
ACAD10	7	0	0	4	1	5	1	2	1	6	4	4	3	3	0	0	0	0	0	0	0	0	0	0	5	4	2	3	4	4	2	3	1	2	0	7	2	2	0	0	0	0	0	0	0	0	0	0	1	4	1	1	3	0	0	1	3	4	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	3	3
ACAD11	3	2	3	5	1	4	6	1	0	1	7	15	2	6	0	0	0	0	0	0	0	0	0	0	5	1	1	15	15	3	1	1	0	2	0	6	4	8	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	7	9	3	4	3	2	2	1	5	0	0	0	0	0	0	0	0	0	1	2	5	0	11	1	0	1
ACAD8	13	9	2	14	7	27	3	9	6	22	6	7	8	2	0	0	0	0	0	0	0	0	0	0	9	14	8	5	10	16	5	14	5	5	1	11	1	0	0	0	0	0	0	0	0	0	0	0	1	3	6	3	9	11	3	10	5	4	4	7	2	0	0	0	0	0	0	0	0	0	0	0	5	4	7	8	6	2	3
ACAD9	66	16	5	18	20	16	17	16	13	40	27	27	5	17	0	0	0	0	0	0	0	0	0	0	42	21	13	33	14	18	15	10	21	21	15	24	14	5	0	0	0	0	0	0	0	0	0	0	5	16	6	17	10	19	8	29	15	7	10	22	16	12	0	0	0	0	0	0	0	0	0	0	18	14	4	27	4	8	9
ACADL	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	208	54	30	32	87	99	68	28	56	63	71	209	98	141	0	0	0	0	1	0	0	0	0	0	86	86	33	113	159	153	95	147	24	148	68	87	61	53	0	0	0	0	0	0	0	0	0	0	105	63	63	103	37	99	58	98	23	64	34	34	40	32	0	1	0	0	0	0	0	0	0	0	63	42	44	145	38	33	26
ACADS	2	1	0	1	1	0	0	1	1	1	0	33	0	4	0	0	0	0	0	0	0	0	0	0	2	0	2	1	31	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	9	8	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ACADSB	57	13	5	18	10	4	13	7	50	22	5	6	6	2296	0	0	0	0	0	0	0	0	0	0	35	49	20	1	14	5	1652	8	14	66	24	59	5	6	0	0	0	0	0	0	0	0	0	0	1	17	25	38	29	7	6	14	11	18	13	10	209	10	0	0	0	0	0	0	0	0	0	0	9	7	9	15	5	123	13
ACADVL	105	33	33	26	39	62	35	10	18	35	44	107	19	26	0	0	0	0	0	0	0	0	0	0	24	16	15	94	54	35	18	74	22	34	11	42	6	7	1	0	0	0	0	0	0	0	0	0	31	74	16	20	25	5	11	55	48	26	16	16	15	18	0	0	0	0	0	0	0	0	0	0	38	50	17	45	17	14	18
ACAN	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ACAP1	0	2	0	7	1	1	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
ACAP2	186	47	29	77	36	33	41	44	54	148	28	60	17	37	0	0	0	0	0	0	1	0	0	0	95	79	121	51	54	39	52	63	35	67	48	78	14	9	0	0	0	0	0	0	0	0	0	0	29	131	45	70	29	32	16	68	18	53	18	40	25	18	0	0	0	0	0	0	0	0	0	0	43	9	42	103	28	25	28
