	P2_A1	P2_A2	P2_A3	P2_A4	P2_A5	P2_A6	P2_A7	P2_A8	P2_A9	P2_A10	P2_A11	P2_A12	P2_A13	P2_A14	P2_A15	P2_A16	P2_A17	P2_A18	P2_A19	P2_A20	P2_A21	P2_A22	P2_A23	P2_A24	P2_B1	P2_B2	P2_B3	P2_B4	P2_B5	P2_B6	P2_B7	P2_B8	P2_B9	P2_B10	P2_B11	P2_B12	P2_B13	P2_B14	P2_B15	P2_B16	P2_B17	P2_B18	P2_B19	P2_B20	P2_B21	P2_B22	P2_B23	P2_B24	P2_C1	P2_C2	P2_C3	P2_C4	P2_C5	P2_C6	P2_C7	P2_C8	P2_C9	P2_C10	P2_C11	P2_C12	P2_C13	P2_C14	P2_C15	P2_C16	P2_C17	P2_C18	P2_C19	P2_C20	P2_C21	P2_C22	P2_C23	P2_C24	P2_D1	P2_D2	P2_D3	P2_D4	P2_D5	P2_D6	P2_D7
ABCB7	35	27	5	13	26	16	17	20	22	37	8	46	27	49	0	0	0	0	0	0	0	0	0	0	46	29	18	22	33	29	24	44	11	14	7	33	12	11	0	0	0	0	0	0	0	0	0	0	27	16	4	9	9	21	13	13	14	17	6	7	31	10	0	1	0	0	0	0	0	0	0	0	3	12	10	50	7	28	9
ABCB8	2	5	1	0	0	0	0	3	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	6	1	0	4	4	2	0	3	0	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	2	3	1	1	0	4	2	0	0	0	0	0	0	0	0	0	0	2	5	0	2	0	1	0
ABCB9	3	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0
ABCC1	11	17	3	3	10	7	11	18	10	8	10	28	19	4	0	0	0	0	0	0	0	0	0	0	18	5	6	8	16	29	4	12	10	14	1	6	0	1	0	0	0	0	0	0	0	0	0	0	2	6	7	1	1	0	6	3	17	5	3	2	2	6	0	0	0	0	0	0	0	0	0	0	1	23	3	11	4	3	5
ABCC10	6	4	2	2	4	6	1	3	1	1	5	5	0	4	0	0	1	0	0	0	0	0	0	0	10	6	1	4	3	1	4	6	6	7	0	8	1	3	0	0	0	0	0	0	0	0	0	0	0	8	4	4	4	0	4	5	1	2	4	8	6	5	0	0	0	0	0	0	0	0	0	0	3	4	3	10	4	6	3
ABCC11	0	0	3	24	0	1	0	5	10	22	1	2	0	78	0	0	0	0	0	0	0	0	0	0	16	15	10	1	0	0	57	1	0	73	15	18	0	0	0	0	0	0	0	0	0	0	0	0	1	1	28	23	5	0	0	0	1	0	1	10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	15	1
ABCC12	0	0	2	1	0	1	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC13	5	1	0	15	1	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	12	2	2	1	3	8	4	0	0	6	1	4	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	1	7	1	10	16	0	14	1	0	7	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	0	19	0	9	0	0	12	4	37	42	0	0	0	0	0	0	0	0	0	0	4	3	0	42	1	45	63
ABCC3	4	7	44	3	29	17	126	0	0	3	13	7	1	9	0	0	0	0	0	0	0	0	0	0	1	5	1	16	11	0	9	2	3	69	61	44	1	4	0	0	0	0	0	0	0	1	0	0	0	4	32	56	21	0	1	20	44	23	4	77	38	4	0	0	0	0	0	0	0	0	0	0	6	36	19	9	33	29	10
ABCC4	1	18	4	0	1	4	2	0	1	0	14	39	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	17	19	0	0	3	0	0	8	12	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0	5	7	2	4	0	5	10	1	10	5	1	0	0	0	0	0	0	0	0	0	0	0	9	5	10	10	2	1
ABCC5	61	14	21	26	3	4	5	65	19	230	7	5	8	17	0	0	0	0	0	0	0	0	0	0	127	30	126	9	8	18	11	35	8	23	17	121	12	3	0	0	0	0	0	0	0	0	0	1	16	27	11	31	64	31	2	32	8	2	2	7	33	3	0	0	0	0	0	0	0	0	0	0	14	12	2	16	5	31	8
ABCC5-AS1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
